City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Soyo,AO,78.71,light rain,-6.1349,12.3689,Hotel Mpampa
1,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
3,Kavieng,PG,82.18,light rain,-2.5744,150.7967,Nusa Island Retreat
7,Lamu,KE,79.02,clear sky,-2.2717,40.902,Lamu House
8,Atuona,PF,77.72,few clouds,-9.8,-139.0333,Villa Enata
14,Batemans Bay,AU,75.2,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
15,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,Saint-Pierre,RE,76.68,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
28,Rikitea,PF,77.32,overcast clouds,-23.1203,-134.9692,People ThankYou
29,Lorengau,PG,80.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
34,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
39,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
43,Nkan,GA,77.65,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
44,Moron,AR,84.94,broken clouds,-34.6534,-58.6198,Hotel Morón
48,Vaini,TO,81.46,overcast clouds,-21.2,-175.2,Keleti Beach Resort
50,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Limbang,MY,79.11,overcast clouds,4.75,115.0,Purnama Hotel
58,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
60,Anloga,GH,82.62,overcast clouds,5.7947,0.8973,Pin Drop Hotel
62,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
65,Harper,LR,79.97,broken clouds,4.375,-7.7169,Screensaver
78,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
80,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
81,Nelson Bay,AU,76.08,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
83,Hithadhoo,MV,80.87,overcast clouds,-0.6,73.0833,Scoop Guest House
84,Biak,ID,76.35,overcast clouds,-0.9131,122.8766,Penginapan Kim
89,Kroya,ID,76.19,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
90,Bima,ID,76.51,light rain,-8.4667,118.7167,Lambitu Hotel
91,Kapoeta,SS,83.48,clear sky,4.7717,33.5903,Eastgate Hotel
93,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
94,Itamaraca,BR,81.28,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
100,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
106,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
110,Bengkulu,ID,75.88,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
112,Bandarbeyla,SO,75.76,overcast clouds,9.4942,50.8122,JABIR HOTEL
118,Cockburn Town,TC,80.56,few clouds,21.4612,-71.1419,Osprey Beach Hotel
124,Arraial Do Cabo,BR,76.96,light rain,-22.9661,-42.0278,Pousada Porto Praia
127,Isangel,VU,77.11,heavy intensity rain,-19.55,169.2667,Tanna Lodge
137,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
138,Mapastepec,MX,89.44,scattered clouds,15.4333,-92.9,Hotel San Carlos
143,Honiara,SB,78.76,light rain,-9.4333,159.95,Heritage Park Hotel
145,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
147,Guatire,VE,76.68,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
149,Itarema,BR,79.66,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
153,Vilhena,BR,79.02,broken clouds,-12.7406,-60.1458,Hotel Mirage
159,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
160,Placido De Castro,BR,75.06,moderate rain,-10.3353,-67.1856,Hotel Carioca
162,Kavaratti,IN,80.51,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
163,Padang,ID,76.53,broken clouds,-0.9492,100.3543,Mercure Padang
167,Bakel,SN,86.65,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
168,Noumea,NC,79.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
169,Morondava,MG,81.39,clear sky,-20.2833,44.2833,La Case Bambou
174,Porto Novo,BJ,84.02,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
181,Dabola,GN,79.95,few clouds,10.75,-11.1167,Hotel Tinkisso
188,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
198,Uribia,CO,82.53,clear sky,11.7139,-72.266,Hotel Uribia
200,Sambava,MG,75.79,few clouds,-14.2667,50.1667,Melrose
201,Palmerston,AU,80.58,light rain,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
206,Arica,CL,80.15,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
210,Fare,PF,80.58,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
212,Tartagal,AR,84.74,clear sky,-22.5164,-63.8013,Almuñecar Hotel
219,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Casona Del Muelle
220,Hambantota,LK,77.95,broken clouds,6.1241,81.1185,Bungalow 63
222,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
226,Beruwala,LK,78.93,broken clouds,6.4788,79.9828,The Palms Hotel
234,Valparaiso,CL,75.43,few clouds,-33.0393,-71.6273,Hotel Ultramar
236,Manokwari,ID,77.38,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
240,Tiarei,PF,82.42,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
246,Beberibe,BR,84.24,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
257,Rawson,AR,83.1,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
265,Kirakira,SB,81.48,light rain,-10.4544,161.9205,SanBiz Lodge
266,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
270,Yulara,AU,80.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
274,Koumac,NC,81.43,broken clouds,-20.5667,164.2833,Le Monitel
277,Puerto Escondido,MX,84.9,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
289,San Luis,AR,88.5,clear sky,-33.295,-66.3356,Huarpes Hotel
292,Obera,AR,85.73,clear sky,-27.4871,-55.1199,CABAÑAS DORALIA
305,Tabou,CI,80.26,scattered clouds,4.423,-7.3528,hotêl doufoulougou
307,Carutapera,BR,75.15,moderate rain,-1.195,-46.02,Lidera
308,Ternate,ID,78.91,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
309,Kangaba,ML,81.39,clear sky,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
312,Kieta,PG,79.07,light rain,-6.2167,155.6333,Uruna Bay Retreat
314,Samarai,PG,80.17,overcast clouds,-10.6167,150.6667,Nuli Sapi
315,Miracema Do Tocantins,BR,76.64,broken clouds,-9.5618,-48.3967,Miami Apart Hotel
320,Kendari,ID,75.15,overcast clouds,-3.945,122.4989,Hotel Wixel
322,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
329,Cabo San Lucas,MX,79.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
335,Caraballeda,VE,78.39,broken clouds,10.6112,-66.8522,Hotel 15 Letras
339,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
341,Poum,NC,80.92,scattered clouds,-20.2333,164.0167,Gîte kajeon
347,Kota Belud,MY,75.06,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
352,Pandan,PH,77.04,scattered clouds,14.0453,124.1694,Bonifacio Lodge
355,Samana,DO,87.76,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
363,Matara,LK,77.2,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
367,Takoradi,GH,80.04,few clouds,4.8845,-1.7554,Raybow International Hotel
372,Buala,SB,81.32,light rain,-8.145,159.5921,Maringe Lagoon Lodge
375,Coahuayana,MX,87.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
380,Sulangan,PH,81.14,few clouds,11.1373,123.7228,Maia's Beach Resort
381,Sola,VU,83.21,overcast clouds,-13.8833,167.55,Leumerus Bungalows
382,Quatre Cocos,MU,80.71,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
384,Siocon,PH,77.07,overcast clouds,7.7061,122.1353,ABS Hotel
385,Japura,ID,75.65,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
387,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
394,Maraba,BR,82.58,broken clouds,-5.3686,-49.1178,Hotel Del Principe
395,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
400,Lodwar,KE,85.55,few clouds,3.1191,35.5973,Solmar Gracious Hotel
408,Galle,LK,78.33,overcast clouds,6.0367,80.217,Amangalla
410,Maceio,BR,83.64,overcast clouds,-9.6658,-35.7353,Poutur Pousada
413,Careiro Da Varzea,BR,75.81,heavy intensity rain,-3.2003,-59.8119,POUSADA DA ALDENORA
419,Farafangana,MG,75.27,scattered clouds,-22.8167,47.8333,Miarina
420,Carauari,BR,79.21,overcast clouds,-4.8828,-66.8958,Hotel Fellip
426,Wukari,NG,81.34,overcast clouds,7.85,9.7833,Elimtop
427,Cairns,AU,75.15,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
433,Mayumba,GA,77.54,broken clouds,-3.432,10.6554,LIKWALE LODGE
442,Cayenne,GF,80.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
455,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
458,Faanui,PF,80.04,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
469,Port Moresby,PG,76.42,heavy intensity rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
470,Dolores,AR,78.66,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
471,Bobo Dioulasso,BF,75.65,dust,11.1771,-4.2979,RAN Hotel Somketa
473,San Cristobal,VE,78.98,clear sky,7.7669,-72.225,Posada Villaven C.A.
475,Ugoofaaru,MV,82.11,broken clouds,5.6667,73.0,Ungoofaaru Inn
484,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
485,Baculin,PH,75.56,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
490,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
498,Zabid,YE,76.24,clear sky,14.1951,43.3152,مغرب التريبه
500,Tecoanapa,MX,85.14,few clouds,16.5167,-98.75,Hotel Manglares
501,Benguela,AO,77.68,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
520,Kibala,TD,77.56,scattered clouds,9.1104,18.3463,hotel safari
525,Coruripe,BR,78.08,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
528,Pemangkat,ID,76.46,overcast clouds,1.1667,108.9667,Ramah Kost KITA
537,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
538,Trenggalek,ID,75.83,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
539,Itacare,BR,76.89,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
540,Namatanai,PG,80.28,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
543,Vanimo,PG,76.08,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
544,Kandrian,PG,78.89,light rain,-6.2167,149.55,Kandrian Station
546,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
547,Kilindoni,TZ,78.06,overcast clouds,-7.9139,39.6668,Bustani B&B
552,Belmonte,BR,84.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
553,Caravelas,BR,79.68,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
555,Santiago,CL,83.28,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
561,Luganville,VU,79.68,moderate rain,-15.5333,167.1667,The Espiritu Hotel
562,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
566,Nikki,BJ,76.24,few clouds,9.9401,3.2108,Hotel John
569,Santa Maria,BR,79.9,few clouds,-29.6842,-53.8069,Hotel Morotin
572,Santana Do Livramento,BR,85.98,clear sky,-30.8908,-55.5328,Hotel Emirates
575,Banjar,ID,78.66,light rain,-8.19,114.9675,The Hamsa Resort
577,Labuhan,ID,78.21,overcast clouds,-6.8844,112.2051,DoubleFAG
581,Waingapu,ID,78.19,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
583,Sarangani,PH,80.71,overcast clouds,5.4033,125.4636,Ballistic Islet
587,Wewak,PG,77.09,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
590,Karratha,AU,80.83,broken clouds,-20.7377,116.8463,ibis Styles Karratha
593,Mandera,KE,82.6,clear sky,3.9366,41.867,Mwalimu Guest mandera
608,Lahaina,US,80.6,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
629,Mackay,AU,75.69,light rain,-21.15,149.2,International Lodge Motel
632,Kuah,MY,78.78,few clouds,6.3265,99.8432,Azio Hotel
635,Xambioa,BR,75.27,scattered clouds,-6.4111,-48.5364,Pousada Do Sol
639,Batticaloa,LK,77.45,few clouds,7.7102,81.6924,Grand Star Guest House
644,Mabaruma,GY,78.55,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
645,Monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn
647,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
653,Mattru,SL,77.63,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
654,General Pico,AR,86.85,clear sky,-35.6566,-63.7568,Euskadi Hotel
660,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
663,Bubaque,GW,78.44,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
664,Sorong,ID,80.46,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
669,Ipixuna,BR,78.75,moderate rain,-1.7625,-48.8043,Casa da Oscarina
674,Acajutla,SV,88.81,scattered clouds,13.5928,-89.8275,Laureles
675,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
677,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,Hotel Fórum
